湖北电信,#genre#
湖北卫视,http://183.94.40.44::9901/tsfile/live/0132_1.m3u8
湖北卫视,http://183.94.40.49::9901/tsfile/live/0132_1.m3u8
湖北卫视,http://58.19.13.92::9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&authid=0
湖北经视,http://183.94.40.44:9901/tsfile/live/1000_1.m3u8
湖北经视,http://183.94.40.49:9901/tsfile/live/1000_1.m3u8
湖北经视,http://58.19.13.92:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
湖北综合,http://183.94.40.44:9901/tsfile/live/1013_1.m3u8
湖北综合,http://183.94.40.49:9901/tsfile/live/1013_1.m3u8
湖北综合,http://58.19.13.92:9901/tsfile/live/1013_1.m3u8?key=txiptv&playlive=1&authid=0
湖北卫视,http://59.173.243.210:9901/tsfile/live/1018_1.m3u8
湖北经视,http://59.173.243.210:9901/tsfile/live/1019_1.m3u8
湖北公共,http://59.173.243.210:9901/tsfile/live/1034_1.m3u8
湖北综合,http://59.173.243.210:9901/tsfile/live/1020_1.m3u8
湖北影视,http://59.173.243.210:9901/tsfile/live/1000_1.m3u8
湖北陇上,http://59.173.243.210:9901/tsfile/live/1031_1.m3u8
武汉1 新闻综合,http://59.173.243.210:9901/tsfile/live/1003_1.m3u8
武汉2 电视剧,http://59.173.243.210:9901/tsfile/live/1038_1.m3u8
武汉3 科技生活,http://59.173.243.210:9901/tsfile/live/1002_1.m3u8
武汉3 科技生活,http://stream.appwuhan.com/3tzb/sd/live.m3u8
武汉4 经济,http://stream.appwuhan.com/4tzb/sd/live.m3u8
武汉5 文体,http://59.173.243.210:9901/tsfile/live/0119_1.m3u8
武汉5 文体,http://stream.appwuhan.com/5tzb/sd/live.m3u8
武汉6 外语,http://59.173.243.210:9901/tsfile/live/1012_1.m3u8
武汉6 外语,http://stream.appwuhan.com/6tzb/sd/live.m3u8
武汉教育,http://59.173.243.210:9901/tsfile/live/1001_1.m3u8
武汉教育,http://stream.appwuhan.com/jyzb/sd/live.m3u8

央视,#genre#
CCTV1 综合,http://183.94.40.44:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://183.94.40.49:9901/tsfile/live/0001_1.m3u8
CCTV1 综合,http://58.19.13.92:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2 财经,http://183.94.40.44::9901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://183.94.40.49::9901/tsfile/live/0002_1.m3u8
CCTV2 财经,http://58.19.13.92::9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3 综艺,http://183.94.40.44::9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://183.94.40.49::9901/tsfile/live/0003_1.m3u8
CCTV3 综艺,http://58.19.13.92::9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4 中文国际,http://183.94.40.44::9901/tsfile/live/0004_1.m3u8
CCTV4 中文国际,http://183.94.40.49::9901/tsfile/live/0004_1.m3u8
CCTV4 中文国际,http://58.19.13.92::9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5 体育,http://183.94.40.44::9901/tsfile/live/0005_1.m3u8
CCTV5 体育,http://183.94.40.49::9901/tsfile/live/0005_1.m3u8
CCTV5 体育,http://58.19.13.92::9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+ 体育赛事,http://183.94.40.44::9901/tsfile/live/0016_1.m3u8
CCTV5+ 体育赛事,http://183.94.40.49::9901/tsfile/live/0016_1.m3u8
CCTV5+ 体育赛事,http://58.19.13.92::9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6 电影,http://183.94.40.44::9901/tsfile/live/0006_1.m3u8
CCTV6 电影,http://183.94.40.49::9901/tsfile/live/0006_1.m3u8
CCTV6 电影,http://58.19.13.92::9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7 国防军事,http://183.94.40.44::9901/tsfile/live/0007_1.m3u8
CCTV7 国防军事,http://183.94.40.49::9901/tsfile/live/0007_1.m3u8
CCTV7 国防军事,http://58.19.13.92::9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8 电视剧,http://183.94.40.44::9901/tsfile/live/0008_1.m3u8
CCTV8 电视剧,http://183.94.40.49::9901/tsfile/live/0008_1.m3u8
CCTV8 电视剧,http://58.19.13.92::9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9 纪录,http://183.94.40.44::9901/tsfile/live/0009_1.m3u8
CCTV9 纪录,http://183.94.40.49::9901/tsfile/live/0009_1.m3u8
CCTV9 纪录,http://58.19.13.92::9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10 科教,http://183.94.40.44::9901/tsfile/live/0010_1.m3u8
CCTV10 科教,http://183.94.40.49::9901/tsfile/live/0010_1.m3u8
CCTV10 科教,http://58.19.13.92::9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11 戏曲,http://183.94.40.44::9901/tsfile/live/0011_1.m3u8
CCTV11 戏曲,http://183.94.40.49::9901/tsfile/live/0011_1.m3u8
CCTV11 戏曲,http://58.19.13.92::9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12 社会与法,http://183.94.40.44::9901/tsfile/live/0012_1.m3u8
CCTV12 社会与法,http://183.94.40.49::9901/tsfile/live/0012_1.m3u8
CCTV12 社会与法,http://58.19.13.92::9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13 新闻,http://183.94.40.44::9901/tsfile/live/0013_1.m3u8
CCTV13 新闻,http://183.94.40.49::9901/tsfile/live/0013_1.m3u8
CCTV13 新闻,http://58.19.13.92::9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14 少儿,http://183.94.40.44::9901/tsfile/live/0014_1.m3u8
CCTV14 少儿,http://183.94.40.49::9901/tsfile/live/0014_1.m3u8
CCTV14 少儿,http://58.19.13.92::9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
